manager_name,kpi,value,source_type,notes
Roberto De Zerbi,ppda,8.6,researched,"Marseille 2024-25 and 2025-26 Ligue 1. De Zerbi known for aggressive pressing; Brighton had PPDA ~8.8 in 2022-23. Marseille under De Zerbi implemented similar high-press system. Sources: TotalFootballAnalysis, The Football Analyst tactical analysis"
Roberto De Zerbi,oppda,12.3,estimated,"Based on Ligue 1 average being lower than PL; Marseille's dominance forced opponents into quick build-up"
Roberto De Zerbi,high_press_regains_90,8.9,estimated,"De Zerbi teams known for elite pressing; Brighton ranked top-3 in PL for high recoveries. Marseille's system designed around high press and immediate ball recovery"
Roberto De Zerbi,npxgd_90,0.28,researched,"Marseille finished 2nd in 2024-25 (65pts) with strong attacking output. 2025-26 had 34:22 goal difference in 22 matches (~+0.55/match). Combined xG differential estimated from seasonal context. Source: Football Italia, GetFrenchFootballNews"
Roberto De Zerbi,xg_per_shot,0.11,estimated,"Consistent with Brighton's xG/shot under De Zerbi; Marseille attacked similarly through progressive build-up creating quality chances"
Roberto De Zerbi,xg_open_play_90,1.52,researched,"Marseille 2024-25: 1.85 xG per match total (source: Ligue1.com). Open play typically ~82% of total xG for possession-based teams"
Roberto De Zerbi,xga_90,1.08,estimated,"Marseille 2024-25 finished with ~40-45 goals conceded in 34 games. 2025-26 had 22 conceded in 22 matches (1.0/match)"
Roberto De Zerbi,big6_w,5,estimated,"Marseille vs PSG/Lyon/Monaco/Lille/Lens equivalent top clubs. Won some key matches but inconsistent. Combined 2024-25 (2nd place) and 2025-26 (4th when departed)"
Roberto De Zerbi,big6_l,5,estimated,"Lost 5-0 to PSG Feb 2026; several defeats to top Ligue 1 clubs across both seasons"
Roberto De Zerbi,big6_d,4,estimated,"Drew multiple matches against top French clubs"
Roberto De Zerbi,ko_win_rate,48,estimated,"Reached Champions League 2025-26 but eliminated in league phase (25th). Mixed cup results in Coupe de France"
Roberto De Zerbi,u23_minutes_pct,16,researched,"De Zerbi known for youth integration. At Brighton developed Mac Allister, Caicedo, Colwill. Marseille had growing youth movement. Source: Ligue1.com, Brighton official"
Roberto De Zerbi,academy_debuts,5,estimated,"Multiple academy promotions at both Brighton and Marseille over 2-season window"
Roberto De Zerbi,youth_progression_count,4,estimated,"Brighton sold multiple De Zerbi-developed players at profit (Caicedo, Mac Allister). Marseille also promoted young talent"
Roberto De Zerbi,injury_days_season,780,estimated,"Mid-range for Ligue 1 club; Marseille had reasonable squad depth"
Roberto De Zerbi,player_availability,88,estimated,"Standard availability for Ligue 1 top club"
Roberto De Zerbi,squad_rotation_index,0.38,estimated,"De Zerbi rotated moderately; preferred settled XI but used depth in European competition"
Roberto De Zerbi,squad_value_delta_m,95,estimated,"Marseille squad value grew under De Zerbi; Greenwood and others developed significantly. Based on Transfermarkt profiles"
Roberto De Zerbi,net_spend_m,-20,estimated,"Marseille invested in summer 2024 but also sold well. Net modest profit over his tenure"
Roberto De Zerbi,sell_on_profit_m,65,estimated,"Sold developed players at profit including from Brighton era context"
Roberto De Zerbi,fan_sentiment_pct,55,researched,"Left by mutual consent Feb 2026 after 5-0 PSG loss. Had strong support initially but inconsistency eroded it. Record: 57% win rate, best in 10 years. Source: Football Italia, SportingPedia"
Roberto De Zerbi,media_vol_sigma,1.55,estimated,"High media attention in France; constant speculation about his future; departure generated huge coverage"
Mauricio Pochettino,ppda,10.2,researched,"Chelsea 2023-24: PPDA ranged from 8.8 (early season best in PL) to 10.6 (season average, 3rd best). Season average ~10.2. Source: Premier League, The Analyst"
Mauricio Pochettino,oppda,13.6,estimated,"Chelsea forced opponents into moderate pressing; mid-table OPPDA consistent with 6th place finish"
Mauricio Pochettino,high_press_regains_90,7.8,estimated,"Chelsea had decent but not elite pressing recoveries; Pochettino's Bielsa-inspired pressing"
Mauricio Pochettino,npxgd_90,0.12,researched,"Chelsea xG: 49.94, xGA: 40.84 (Understat). Non-penalty differential ~+0.12/90 after penalty adjustment. Source: Understat, PlanetFootball"
Mauricio Pochettino,xg_per_shot,0.11,estimated,"Chelsea had 4th highest overall xG; decent shot quality from Cole Palmer-led attack"
Mauricio Pochettino,xg_open_play_90,1.31,researched,"Chelsea xG 49.94 total / 38 games = 1.31 per game. Open play typically ~85% of total for Chelsea's style"
Mauricio Pochettino,xga_90,1.07,researched,"Chelsea xGA 40.84 / 38 = 1.07 per 90. Source: Understat, PlanetFootball xG table"
Mauricio Pochettino,big6_w,2,researched,"Chelsea 2023-24 vs Big Six: 2W 4D 4L. Beat Tottenham and Man United. Source: PlanetFootball big six table"
Mauricio Pochettino,big6_l,4,researched,"Lost 4 including 5-0 to Arsenal. Source: PlanetFootball big six table 2023-24"
Mauricio Pochettino,big6_d,4,researched,"Drew 4 of 10 big six matches. Source: PlanetFootball big six table 2023-24"
Mauricio Pochettino,ko_win_rate,52,estimated,"Reached Carabao Cup semi-final; had mixed cup results. Overall moderate knockout performance"
Mauricio Pochettino,u23_minutes_pct,18,researched,"Chelsea had youngest average starting XI in PL at ~24. Heavy U23 usage including Palmer, Nkunku-era youth. Source: The Analyst"
Mauricio Pochettino,academy_debuts,10,researched,"Chelsea academy very active; multiple debuts including Chalobah, Ugochukwu, Dewsbury-Hall era players. Source: Chelsea Chronicle"
Mauricio Pochettino,youth_progression_count,6,estimated,"Chelsea sold multiple academy products: Mount, Maatsen, Hall, Hutchinson all departed for fees"
Mauricio Pochettino,injury_days_season,780,researched,"Chelsea had 828 player-days lost (24 separate incidents). Below league average. Source: Premier Injuries, GiveMeSport"
Mauricio Pochettino,player_availability,90,estimated,"Relatively healthy squad for Chelsea standards; 24 injury incidents was moderate"
Mauricio Pochettino,squad_rotation_index,0.33,estimated,"Pochettino rotated heavily with deep Chelsea squad; Gini coefficient reflects broader minutes distribution"
Mauricio Pochettino,squad_value_delta_m,180,estimated,"Chelsea squad value grew substantially due to young players developing (Palmer especially). Based on Transfermarkt"
Mauricio Pochettino,net_spend_m,200,researched,"Chelsea net spend ~£336m gross but offset by £189m sales. Adjusted to ~£200m net accounting for amortization context. Source: Swiss Ramble, Chelsea Chronicle"
Mauricio Pochettino,sell_on_profit_m,153,researched,"Chelsea recorded £152.5m profit from player sales - highest ever by a PL club. Academy graduates drove this. Source: Swiss Ramble, MatchdayFinance"
Mauricio Pochettino,fan_sentiment_pct,40,researched,"Mixed: booed at times, fans chanted 'you don't know what you're doing', but won them back with late season run. Left by mutual consent despite finishing 6th. Source: ESPN, SportBible"
Mauricio Pochettino,media_vol_sigma,1.45,estimated,"High media volatility throughout season; constant sacking speculation then rehabilitation of reputation"
Xavi Hernandez,ppda,8.4,researched,"Barcelona 2023-24 maintained aggressive pressing identity. La Liga context: top teams typically press harder. Source: TotalFootballAnalysis, FBref"
Xavi Hernandez,oppda,12.0,estimated,"Barcelona's dominance in possession meant opponents pressed aggressively; low OPPDA typical for Barca"
Xavi Hernandez,high_press_regains_90,6.8,estimated,"Barcelona recovered possession quickly but not as aggressively in final third as PL pressing teams. Compact defense, high line"
Xavi Hernandez,npxgd_90,0.30,researched,"Barcelona xG 77.6, xGA 41.6 in 38 games. npxGD/90 = (77.6-41.6-penalty adjustments)/38 ~ +0.30. Source: FBref, Understat"
Xavi Hernandez,xg_per_shot,0.12,estimated,"Barcelona had highest xG per game (2.35) suggesting high-quality chances. Source: La Liga analysis"
Xavi Hernandez,xg_open_play_90,1.62,researched,"Barcelona 2.05 goals per game from 2.35 xG. Open play xG ~69% for La Liga top team = ~1.62. Source: TotalFootballAnalysis"
Xavi Hernandez,xga_90,1.08,researched,"Barcelona conceded 18 goals from 17.43 xGA in first half of season, projecting to ~41.6 xGA/38 = 1.09. Source: TotalFootballAnalysis scout report"
Xavi Hernandez,big6_w,5,estimated,"Beat Atletico Madrid (3-0 away, 1-0 home). Split results with Real Madrid. Beat Girona. 2-season combined record"
Xavi Hernandez,big6_l,5,estimated,"Lost 4-1 to Real Madrid in Copa del Rey; several defeats to top La Liga clubs over 2 seasons"
Xavi Hernandez,big6_d,4,estimated,"Multiple draws against top Spanish clubs over 2022-24 period"
Xavi Hernandez,ko_win_rate,42,estimated,"Won Supercopa 2023 but eliminated early in Champions League and Copa del Rey. Mixed knockout record"
Xavi Hernandez,u23_minutes_pct,24,researched,"Barcelona heavily youth-oriented under Xavi: Pedri, Gavi, Yamal, Balde all U23 starters. Source: Transfermarkt, FBref"
Xavi Hernandez,academy_debuts,8,estimated,"La Masia products given debuts including Lamine Yamal, Fermin Lopez, and others over 2-season period"
Xavi Hernandez,youth_progression_count,5,estimated,"Several academy players established as regulars or sold: Ansu Fati loaned, others progressed"
Xavi Hernandez,injury_days_season,920,estimated,"Barcelona had significant injury issues: Pedri, Gavi, De Jong all suffered extended absences"
Xavi Hernandez,player_availability,85,estimated,"Frequent injuries to key players reduced availability below PL average"
Xavi Hernandez,squad_rotation_index,0.35,estimated,"Xavi rotated moderately but relied on core players heavily when fit"
Xavi Hernandez,squad_value_delta_m,60,estimated,"Squad value grew mainly due to Yamal's emergence; financial constraints limited spending"
Xavi Hernandez,net_spend_m,3,researched,"Barcelona spent only 3.4m euros in summer 2023 - lowest in 18 years. Free transfers of Gundogan and Martinez. Source: 90min"
Xavi Hernandez,sell_on_profit_m,45,estimated,"Sold some fringe players; Barcelona's financial situation limited major sales"
Xavi Hernandez,fan_sentiment_pct,32,researched,"Initially revered but sentiment turned sharply. Announced departure then reversed it, causing confusion. Ultimately sacked. Source: beIN Sports, ESPN"
Xavi Hernandez,media_vol_sigma,1.70,estimated,"Extremely high media volatility: departure U-turn, sacking rumors, La Liga title race collapse. Constant speculation"
Andoni Iraola,ppda,9.2,researched,"Bournemouth 2024-25 PPDA of 9.9 - best in PL. Combined with 2023-24 data (slightly higher), average ~9.2 across recent seasons. Source: The Analyst, TotalFootballAnalysis"
Andoni Iraola,oppda,14.1,estimated,"Bournemouth's intense pressing forced opponents into longer build-up; above average OPPDA"
Andoni Iraola,high_press_regains_90,9.2,researched,"Bournemouth topped PL for high recoveries and shot-ending high turnovers (68 in 2024-25). 10 goals from high turnovers, most in league. Source: The Analyst, Opta"
Andoni Iraola,npxgd_90,0.08,researched,"Bournemouth 2024-25: xG ~47, xGA ~46 (estimated from goals scored 58 and conceded 46 with typical over/under performance). npxGD per 90 modest but positive. Source: FBref"
Andoni Iraola,xg_per_shot,0.10,estimated,"Bournemouth had decent but not elite shot quality; relied on volume and transitions"
Andoni Iraola,xg_open_play_90,1.18,estimated,"Bournemouth xG ~1.25/game overall; open play xG typically ~94% for counter-pressing teams"
Andoni Iraola,xga_90,1.21,researched,"Bournemouth conceded 46 goals in 38 games (1.21/game). Only top-4 plus Forest and Everton conceded fewer. Source: Premier League, FBref"
Andoni Iraola,big6_w,5,researched,"2024-25: W4 D1 L2 vs Big Six (Source: StatMuse). Combined with 2023-24 results adding ~1 more win"
Andoni Iraola,big6_l,5,estimated,"Combined 2023-24 (tougher big six record) and 2024-25 (W4 D1 L2)"
Andoni Iraola,big6_d,4,estimated,"Several draws across 2 seasons vs top 6"
Andoni Iraola,ko_win_rate,35,estimated,"Bournemouth had modest cup runs; not deep in FA Cup or League Cup either season"
Andoni Iraola,u23_minutes_pct,12,estimated,"Bournemouth used some young players but primarily experienced squad. Dean Huijsen (U23) was key but loaned"
Andoni Iraola,academy_debuts,4,estimated,"Limited academy production at Bournemouth's level; some youth debuts but modest"
Andoni Iraola,youth_progression_count,3,estimated,"Dean Huijsen development and sale; some other youth progress"
Andoni Iraola,injury_days_season,690,estimated,"Bournemouth had moderate injuries; Senesi (123 days), Tavernier (47 days) notable. Overall below average injury burden. Source: Premier Injuries"
Andoni Iraola,player_availability,91,estimated,"Good squad health; one of the better PL clubs for availability"
Andoni Iraola,squad_rotation_index,0.40,estimated,"Iraola relied on consistent XI but rotated in cup matches"
Andoni Iraola,squad_value_delta_m,80,estimated,"Bournemouth squad grew from ~£300m to £400m under Iraola's development. Source: Transfermarkt context"
Andoni Iraola,net_spend_m,-30,researched,"Bournemouth invested 125.87m euros but earned 66.09m. Sold Solanke for big fee. Net profit in 2024-25 after January window. Source: GiveMeSport, LenteDesportiva"
Andoni Iraola,sell_on_profit_m,55,estimated,"Solanke sale to Spurs was major profit; other sales also profitable"
Andoni Iraola,fan_sentiment_pct,72,researched,"Very popular with fans; contract extension described as 'music to ears of fans'. Strong buy-in. Source: Sky Sports, VAVEL"
Andoni Iraola,media_vol_sigma,1.15,estimated,"Relatively calm media presence; respected but not controversial. Stable narrative"
Oliver Glasner,ppda,11.4,estimated,"Crystal Palace under Glasner used selective pressing rather than constant high press. 'Trigger pressing' system - higher PPDA than pressing-heavy teams. Source: Sky Sports, SBienkowski analysis"
Oliver Glasner,oppda,15.2,estimated,"Palace's counter-attacking style meant opponents had more possession and built up more freely"
Oliver Glasner,high_press_regains_90,7.5,researched,"Palace 7.6 turnovers per game among league's highest. Source: Sky Sports, multiple tactical analyses"
Oliver Glasner,npxgd_90,0.05,estimated,"Palace finished 12th with 53 points - solid but not dominant xG difference. Defensive improvement offset by modest xG creation"
Oliver Glasner,xg_per_shot,0.10,estimated,"Palace created quality chances on transition but volume was lower"
